feature,coef,coef_abs
AptitudeTestScore,0.6108079114516879,0.6108079114516879
PlacementTraining,0.3919904455514267,0.3919904455514267
ExtracurricularActivities,0.36037111185815673,0.36037111185815673
SSC_Marks,0.2826279435756969,0.2826279435756969
SoftSkillsRating,0.26344988742864023,0.26344988742864023
CGPA,0.2574696395563261,0.2574696395563261
Projects,0.25435602193188217,0.25435602193188217
HSC_Marks,0.22118128418826433,0.22118128418826433
Workshops/Certifications,0.09510163303958766,0.09510163303958766
Internships,-0.010931533370765724,0.010931533370765724
